tag,method,path,summary,roles,request,response,validation,errors,audit
Imports,POST,/imports,อัปโหลดไฟล์ผู้สมัคร,ADMIN,multipart: roundId + file,201 ImportBatch,Release 1 รองรับ CSV/XLSX เท่านั้น; XLS เป็น Optional / Out of Scope; รอบทุนต้อง DRAFT หรือ OPEN; ขนาดไฟล์ใช้ค่าจาก configuration,"ROUND_NOT_FOUND, INVALID_ROUND_STATUS_TRANSITION, UNSUPPORTED_FILE_TYPE, IMPORT_FILE_EMPTY, IMPORT_FILE_TOO_LARGE, CSRF_INVALID",IMPORT_UPLOADED
Imports,GET,/imports/{importId},อ่านสถานะ Import Batch,ADMIN,Path: importId,ImportBatch,-,IMPORT_NOT_FOUND,-
Imports,PUT,/imports/{importId}/mapping,บันทึก Column Mapping,ADMIN,ImportMappingRequest,ImportBatch,ทุกฟิลด์บังคับต้องมี Mapping; หนึ่ง targetField รับได้ไม่เกินหนึ่ง sourceColumn เว้นแต่ระบุ multi-row transform,"IMPORT_NOT_FOUND, IMPORT_STATE_INVALID, IMPORT_MAPPING_INCOMPLETE, DUPLICATE_TARGET_FIELD, UNKNOWN_TARGET_FIELD, CSRF_INVALID",IMPORT_MAPPING_SAVED
Imports,POST,/imports/{importId}/validate,ตรวจสอบและแปลงข้อมูลนำเข้า,ADMIN,ImportValidationRequest (optional),Batch + topErrors,รหัสนักศึกษาใช้รูปแบบ ^\d{9}-\d$ (check digit เป็นกฎแยก); GPA 0.00-4.00; วันที่ไทยต้องแปลง พ.ศ. เป็น ค.ศ.; พิกัด latitude/longitude อยู่ในช่วงมาตรฐาน; รองรับข้อมูล กยศ./ทุนหลายแถวและตรวจ orphan continuation row,"IMPORT_NOT_FOUND, IMPORT_STATE_INVALID, IMPORT_MAPPING_INCOMPLETE, REQUIRED_FIELD_MISSING, INVALID_STUDENT_ID, INVALID_GPA, INVALID_DATE, INVALID_PHONE, INVALID_EMAIL, INVALID_COORDINATE, DUPLICATE_STUDENT_IN_FILE, ORPHAN_CONTINUATION_ROW, CSRF_INVALID","IMPORT_VALIDATED, IMPORT_VALIDATION_FAILED"
Imports,GET,/imports/{importId}/preview,ดูตัวอย่างข้อมูลหลังแปลง,ADMIN,Pagination + onlyIssues,Paged<ImportPreviewRow>,-,"IMPORT_NOT_FOUND, IMPORT_NOT_MAPPED",-
Imports,GET,/imports/{importId}/errors,ดาวน์โหลด/อ่านรายการข้อผิดพลาด,ADMIN,Pagination + severity,Paged<ImportError>,-,IMPORT_NOT_FOUND,-
Imports,POST,/imports/{importId}/confirm,ยืนยันนำเข้าข้อมูลเข้าสู่รอบทุน,ADMIN,allowWarnings (optional),ImportBatch CONFIRMED,ต้องผ่าน Validation และไม่มี ERROR; ใช้ Database Transaction; Applicant ต่อรอบต้องไม่ซ้ำตาม business key ที่ยังรอยืนยัน,"IMPORT_NOT_FOUND, IMPORT_NOT_VALIDATED, IMPORT_HAS_BLOCKING_ERRORS, IMPORT_ALREADY_CONFIRMED, INVALID_ROUND_STATUS_TRANSITION, DUPLICATE_STUDENT_IN_ROUND, CONCURRENCY_CONFLICT, CSRF_INVALID",IMPORT_CONFIRMED
Imports,POST,/imports/{importId}/cancel,ยกเลิก Import Batch ที่ยังไม่ Confirm,ADMIN,Path + CSRF,ImportBatch CANCELLED,ยกเลิกได้ก่อน CONFIRMED เท่านั้น,"IMPORT_NOT_FOUND, IMPORT_ALREADY_CONFIRMED, CSRF_INVALID",IMPORT_CANCELLED
Applicants,GET,/applicants,ค้นหาและแสดงผู้สมัคร,"ADMIN, EVALUATOR",roundId + search/filter,Paged<ApplicantSummary>,Evaluator ค้นหาได้เฉพาะรอบ OPEN; Evaluator ได้เฉพาะข้อมูลขั้นต่ำสำหรับค้นหา/เลือกผู้สมัคร,"ROUND_NOT_FOUND, ACCESS_DENIED",APPLICANT_LIST_VIEWED
Applicants,GET,/applicants/{applicantRoundId},อ่านรายละเอียดผู้สมัคร,"ADMIN, EVALUATOR",Path: applicantRoundId,ApplicantDetail (field-filtered),Evaluator ต้องมี Evaluation ที่ใช้งานอยู่ของตนสำหรับผู้สมัครนี้; ปกปิด field ที่ไม่จำเป็นตามบทบาท,"APPLICANT_NOT_FOUND, APPLICANT_ACCESS_DENIED, ROUND_NOT_OPEN",APPLICANT_DETAIL_VIEWED
Applicants,PATCH,/applicants/{applicantRoundId},แก้ไขข้อมูลผู้สมัคร,ADMIN,UpdateApplicantRequest,ApplicantDetail,ข้อมูลต้องผ่าน validation เดียวกับ Import; การแก้ไขหลัง Finalized ต้องเป็นไปตามนโยบายและมีเหตุผล,"APPLICANT_NOT_FOUND, INVALID_ROUND_STATUS_TRANSITION, VALIDATION_ERROR, CONCURRENCY_CONFLICT, CSRF_INVALID",APPLICANT_UPDATED
Documents,GET,/applicants/{applicantRoundId}/documents,แสดงเอกสารของผู้สมัคร,"ADMIN, EVALUATOR",Path: applicantRoundId,Document[],Evaluator ต้องเป็นเจ้าของ Evaluation ของผู้สมัคร,"APPLICANT_NOT_FOUND, DOCUMENT_ACCESS_DENIED",DOCUMENT_LIST_VIEWED
Documents,POST,/applicants/{applicantRoundId}/documents,อัปโหลดเอกสารประกอบ,ADMIN,multipart file + metadata,201 Document,รองรับ PDF/JPG/PNG; ตรวจ MIME จริง ไม่เชื่อเฉพาะนามสกุล; ชื่อไฟล์ต้อง sanitize; ขนาดสูงสุดมาจาก configuration,"APPLICANT_NOT_FOUND, DOCUMENT_TYPE_UNSUPPORTED, DOCUMENT_TOO_LARGE, FILE_STORAGE_ERROR, CSRF_INVALID",DOCUMENT_UPLOADED
Documents,GET,/documents/{documentId},อ่าน metadata เอกสาร,"ADMIN, EVALUATOR",Path: documentId,Document,-,"DOCUMENT_NOT_FOUND, DOCUMENT_ACCESS_DENIED",DOCUMENT_METADATA_VIEWED
Documents,GET,/documents/{documentId}/content,เปิดดูหรือดาวน์โหลดเอกสาร,"ADMIN, EVALUATOR",Path + disposition,Binary stream,ตรวจสิทธิ์ทุกครั้งผ่าน Backend; ห้ามเปิดเผย storage path โดยตรง,"DOCUMENT_NOT_FOUND, DOCUMENT_ACCESS_DENIED, FILE_STORAGE_ERROR","DOCUMENT_OPENED, DOCUMENT_DOWNLOADED"
Documents,DELETE,/documents/{documentId},ลบเอกสารประกอบ,ADMIN,Path + CSRF,204 No Content,ต้องลบ metadata และไฟล์ตาม transaction/outbox policy; อาจใช้ soft delete เพื่อ auditability,"DOCUMENT_NOT_FOUND, DOCUMENT_IN_USE, FILE_STORAGE_ERROR, CSRF_INVALID",DOCUMENT_DELETED
Criteria Sets,GET,/criteria-sets,แสดงชุดเกณฑ์,ADMIN,Query filters,Paged<CriteriaSet>,-,FORBIDDEN,-
Criteria Sets,POST,/criteria-sets,สร้างชุดเกณฑ์และรายการเกณฑ์,ADMIN,CreateCriteriaSetRequest,201 CriteriaSet,minScore <= maxScore; code และ displayOrder ไม่ซ้ำในชุด; น้ำหนัก/คะแนนเต็มต้องเป็นไปตาม Scoring Rule ที่อนุมัติ,"ROUND_NOT_FOUND, INVALID_ROUND_STATUS_TRANSITION, DUPLICATE_CRITERION_CODE, INVALID_SCORE_RANGE, INVALID_WEIGHT, VALIDATION_ERROR, CSRF_INVALID",CRITERIA_SET_CREATED
Criteria Sets,GET,/criteria-sets/{criteriaSetId},อ่านรายละเอียดชุดเกณฑ์,"ADMIN, EVALUATOR",Path: criteriaSetId,CriteriaSet,Evaluator อ่านได้เฉพาะชุด ACTIVE ของรอบที่ตนกำลังประเมิน,"CRITERIA_SET_NOT_FOUND, ACCESS_DENIED",-
Criteria Sets,PATCH,/criteria-sets/{criteriaSetId},แก้ไขข้อมูลชุดเกณฑ์ DRAFT,ADMIN,UpdateCriteriaSetRequest,CriteriaSet,แก้ไขได้เมื่อยังไม่มี Evaluation อ้างอิง; การเปลี่ยนกฎคะแนนที่กระทบผลต้องสร้าง version ใหม่,"CRITERIA_SET_NOT_FOUND, CRITERIA_LOCKED, CONCURRENCY_CONFLICT, VALIDATION_ERROR, CSRF_INVALID",CRITERIA_SET_UPDATED
Criteria Sets,POST,/criteria-sets/{criteriaSetId}/criteria,เพิ่มเกณฑ์ในชุด DRAFT,ADMIN,CriterionInput,201 Criterion,ชุดต้อง DRAFT; code/displayOrder ไม่ซ้ำ; minScore <= maxScore,"CRITERIA_SET_NOT_FOUND, CRITERIA_LOCKED, DUPLICATE_CRITERION_CODE, INVALID_SCORE_RANGE, INVALID_WEIGHT, CSRF_INVALID",CRITERION_ADDED
Criteria Sets,PATCH,/criteria-sets/{criteriaSetId}/criteria/{criterionId},แก้ไขเกณฑ์ในชุด DRAFT,ADMIN,CriterionInput,Criterion,ชุดต้อง DRAFT และยังไม่ถูกใช้งาน,"CRITERIA_SET_NOT_FOUND, CRITERION_NOT_FOUND, CRITERIA_LOCKED, DUPLICATE_CRITERION_CODE, INVALID_SCORE_RANGE, INVALID_WEIGHT, CSRF_INVALID",CRITERION_UPDATED
Criteria Sets,DELETE,/criteria-sets/{criteriaSetId}/criteria/{criterionId},ลบเกณฑ์จากชุด DRAFT,ADMIN,Path + CSRF,204 No Content,ต้องเหลือเกณฑ์อย่างน้อย 1 รายการ,"CRITERIA_SET_NOT_FOUND, CRITERION_NOT_FOUND, CRITERIA_LOCKED, CRITERIA_MINIMUM_REQUIRED, CSRF_INVALID",CRITERION_DELETED
Criteria Sets,POST,/criteria-sets/{criteriaSetId}/activate,ตรวจสอบและเปิดใช้ชุดเกณฑ์,ADMIN,Path + CSRF,CriteriaSet ACTIVE,เกณฑ์ครบถ้วน; คะแนน/น้ำหนักรวมตรงกฎที่อนุมัติ; หนึ่งรอบมีชุด ACTIVE ได้หนึ่งชุด,"CRITERIA_SET_NOT_FOUND, CRITERIA_STATE_INVALID, CRITERIA_INVALID, DUPLICATE_ACTIVE_CRITERIA_SET, CSRF_INVALID",CRITERIA_SET_ACTIVATED
Criteria Sets,POST,/criteria-sets/{criteriaSetId}/versions,สร้างเวอร์ชันใหม่จากชุดเกณฑ์เดิม,ADMIN,reason + copyCriteria,201 CriteriaSet new version,reason บังคับ; Evaluation เดิมต้องยังอ้างอิง version เดิมเสมอ,"CRITERIA_SET_NOT_FOUND, INVALID_ROUND_STATUS_TRANSITION, VERSION_ALREADY_EXISTS, CSRF_INVALID",CRITERIA_VERSION_CREATED
Evaluations,GET,/evaluations,แสดงรายการประเมิน,"ADMIN, EVALUATOR",Query filters,Paged<Evaluation>,Evaluator ถูกบังคับ mine=true และเห็นเฉพาะของตน,ACCESS_DENIED,-
Evaluations,POST,/evaluations,เลือกผู้สมัครและสร้าง Evaluation Draft,EVALUATOR,CreateEvaluationRequest,201 Evaluation DRAFT,บัญชี ACTIVE; รอบ OPEN; ผู้ประเมินคนเดิมไม่มี Evaluation ที่ยังไม่ถูกยกเลิก; ผู้สมัครมี active Evaluation < 3; ใช้ transaction/row lock ป้องกันเลือกพร้อมกันเกิน 3 คน,"APPLICANT_NOT_FOUND, USER_INACTIVE, ROUND_NOT_OPEN, ACTIVE_CRITERIA_REQUIRED, DUPLICATE_EVALUATION, EVALUATOR_LIMIT_REACHED, CONCURRENCY_CONFLICT, CSRF_INVALID","EVALUATION_CREATED, EVALUATION_CREATE_REJECTED"
Evaluations,GET,/evaluations/{evaluationId},อ่านรายการประเมิน,"ADMIN, EVALUATOR",Path: evaluationId,Evaluation,Evaluator อ่านได้เฉพาะของตน; Admin อ่านได้เพื่อการตรวจสอบตามหน้าที่,"EVALUATION_NOT_FOUND, EVALUATION_ACCESS_DENIED",EVALUATION_VIEWED
Evaluations,PATCH,/evaluations/{evaluationId},บันทึกหรือแก้ไข Draft,EVALUATOR,scores + comment + version,Evaluation,เจ้าของ Evaluation เท่านั้น; สถานะ DRAFT หรือ REOPENED; คะแนนทุกค่าต้องอยู่ใน min/max ของ criterion version ที่ผูกไว้; version ต้องตรง,"EVALUATION_NOT_FOUND, EVALUATION_NOT_OWNER, EVALUATION_NOT_EDITABLE, ROUND_NOT_OPEN, SCORE_OUT_OF_RANGE, CRITERION_VERSION_MISMATCH, CONCURRENCY_CONFLICT, CSRF_INVALID",EVALUATION_DRAFT_SAVED
Evaluations,POST,/evaluations/{evaluationId}/review,ตรวจความครบถ้วนก่อน Submit,EVALUATOR,Path + CSRF,EvaluationReview,เกณฑ์ required ต้องมีคะแนนครบ; ความคิดเห็นบังคับตาม Scoring Rule; ไม่เปลี่ยนสถานะ Evaluation,"EVALUATION_NOT_FOUND, EVALUATION_NOT_OWNER, EVALUATION_NOT_EDITABLE, ROUND_NOT_OPEN, EVALUATION_INCOMPLETE, SCORE_OUT_OF_RANGE, CSRF_INVALID",EVALUATION_REVIEWED
Evaluations,POST,/evaluations/{evaluationId}/submit,ยืนยันส่งผลประเมิน,EVALUATOR,confirmation=true + version,Evaluation + optional ResultSummary,confirmation ต้อง true; ใช้เฉพาะคะแนนครบถ้วน; คำนวณ total ตาม criterion version; เปลี่ยนเป็น SUBMITTED แบบ atomic; หาก Submitted คนที่ 2 หรือ 3 ให้คำนวณ Result Summary ใหม่อัตโนมัติ,"EVALUATION_NOT_FOUND, EVALUATION_NOT_OWNER, EVALUATION_ALREADY_SUBMITTED, EVALUATION_INCOMPLETE, ROUND_NOT_OPEN, SCORE_OUT_OF_RANGE, CONCURRENCY_CONFLICT, CSRF_INVALID","EVALUATION_SUBMITTED, RESULT_SUMMARY_RECALCULATED"
Evaluations,DELETE,/evaluations/{evaluationId},ยกเลิกการเลือกผู้สมัครก่อน Submit,EVALUATOR,Path + CSRF,204 No Content,ยกเลิกได้เฉพาะ DRAFT/REOPENED ก่อน Submit; ใช้ soft-cancel และไม่นับใน activeEvaluationCount,"EVALUATION_NOT_FOUND, EVALUATION_NOT_OWNER, EVALUATION_ALREADY_SUBMITTED, ROUND_NOT_OPEN, CSRF_INVALID",EVALUATION_CANCELLED
Evaluations,POST,/evaluations/{evaluationId}/reopen,เปิดผล Submitted ให้แก้ไขตามนโยบาย,ADMIN,reason,Evaluation REOPENED,ต้องมีเหตุผล; ต้องเป็นไปตาม Reopen Policy; ผลสรุปเดิมต้องถูกทำเครื่องหมาย stale และคำนวณใหม่เมื่อ Submit ซ้ำ,"EVALUATION_NOT_FOUND, EVALUATION_NOT_SUBMITTED, REOPEN_NOT_ALLOWED, INVALID_ROUND_STATUS_TRANSITION, CSRF_INVALID",EVALUATION_REOPENED
Result Summaries,GET,/result-summaries,ค้นหาและแสดงผลสรุป,ADMIN,roundId + filters,Paged<ResultSummary>,คะแนนและกราฟใช้เฉพาะ Evaluation SUBMITTED,"ROUND_NOT_FOUND, FORBIDDEN",RESULT_SUMMARY_LIST_VIEWED
Result Summaries,GET,/result-summaries/{applicantRoundId},อ่านผลสรุปของผู้สมัคร,ADMIN,Path: applicantRoundId,ResultSummary,Draft/Cancelled ไม่ถูกนำมาคำนวณ; Submitted <2 อาจคืน summaryScore=null พร้อมสถานะปัจจุบัน,"APPLICANT_NOT_FOUND, SUMMARY_NOT_AVAILABLE",RESULT_SUMMARY_VIEWED
Result Summaries,POST,/result-summaries/{applicantRoundId}/recalculate,คำนวณผลสรุปใหม่ด้วยตนเอง,ADMIN,Path + CSRF,ResultSummary,ใช้เฉพาะ Submitted จาก evaluator ไม่ซ้ำกัน สูงสุด 3 คน; มี Result Summary ได้หนึ่งรายการต่อ applicantRoundId; ใช้เพื่อ recovery/verification ไม่ใช่ flow ปกติ,"APPLICANT_NOT_FOUND, SUMMARY_NOT_AVAILABLE, ROUND_ARCHIVED, SCORING_RULE_INVALID, CSRF_INVALID",RESULT_SUMMARY_MANUALLY_RECALCULATED
Result Summaries,GET,/result-summaries/dashboard,อ่านข้อมูล Simple Dashboard,ADMIN,Query: roundId,DashboardSummary,กราฟคะแนนใช้เฉพาะผล Submitted; count status ต้องสอดคล้องกับ Round status และ submittedCount,ROUND_NOT_FOUND,DASHBOARD_VIEWED
Reports,POST,/reports/exports,สร้างงานส่งออกรายงาน,ADMIN,CreateReportExportRequest,202 ReportExport,รองรับ XLSX/CSV; ข้อมูลต้องมาจาก Result Summary และ Evaluation SUBMITTED เท่านั้น; Closed Incomplete ต้องไม่มี final summaryScore,"ROUND_NOT_FOUND, REPORT_FORMAT_UNSUPPORTED, REPORT_DATA_INCONSISTENT, EXPORT_IN_PROGRESS, CSRF_INVALID",REPORT_EXPORT_REQUESTED
Reports,GET,/reports/exports/{exportId},อ่านสถานะงานส่งออก,ADMIN,Path: exportId,ReportExport,-,REPORT_EXPORT_NOT_FOUND,-
Reports,GET,/reports/exports/{exportId}/download,ดาวน์โหลดไฟล์รายงาน,ADMIN,Path: exportId,Binary file,สถานะต้อง READY และยังไม่หมดอายุ; ตรวจสิทธิ์ผู้ใช้งานก่อนดาวน์โหลด,"REPORT_EXPORT_NOT_FOUND, REPORT_NOT_READY, REPORT_EXPIRED, FILE_STORAGE_ERROR",REPORT_EXPORTED
Audit Logs,GET,/audit-logs,ค้นหา Audit Log,ADMIN,Filters + pagination,Paged<AuditLog>,ช่วงเวลาต้องไม่เกินค่าที่กำหนดเพื่อควบคุมประสิทธิภาพ; ผลลัพธ์ต้องปกปิดข้อมูลลับและข้อมูลส่วนบุคคลที่ไม่จำเป็น,"FORBIDDEN, INVALID_DATE_RANGE",AUDIT_LOG_SEARCHED
Audit Logs,GET,/audit-logs/{auditLogId},อ่าน Audit Log รายการเดียว,ADMIN,Path: auditLogId,AuditLog,ปกปิด secret/token เสมอ,AUDIT_LOG_NOT_FOUND,AUDIT_LOG_VIEWED
